24-05-03 15:02:10.449 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.java.group.JavatechieGroupServiceApplicationTests], using SpringBootContextLoader 
24-05-03 15:02:16.946 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6b063470, org.springframework.security.web.context.SecurityContextPersistenceFilter@5b48f0f4, org.springframework.security.web.header.HeaderWriterFilter@682e422c, org.springframework.web.filter.CorsFilter@226d5af0, org.springframework.security.web.authentication.logout.LogoutFilter@52ecc989, com.java.group.config.JwtRequestFilter@27f3f512, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@21274afe, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2c8b8de0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@27ec8754, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@656842bc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@527937d0, org.springframework.security.web.session.SessionManagementFilter@72c9ebfa, org.springframework.security.web.access.ExceptionTranslationFilter@7a66c35a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7ceb6c45] 
24-05-03 15:02:18.081 [task-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
24-05-03 15:02:18.122 [task-1] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
24-05-03 15:02:19.405 [main] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories… 
24-05-03 15:02:20.699 [task-1] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
24-05-03 15:02:20.719 [task-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
24-05-03 15:02:21.697 [main] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized! 
24-05-03 15:02:21.754 [main] INFO  c.j.g.JavatechieGroupServiceApplicationTests - Started JavatechieGroupServiceApplicationTests in 10.455 seconds (JVM running for 13.077) 
24-05-03 15:02:22.342 [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default' 
24-05-03 15:02:22.346 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
24-05-03 15:02:22.347 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated... 
24-05-03 15:02:22.368 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed. 
